slice_col,slice_value,horizon,n,positive_rate,mean_pred,brier,log_loss,ece_10
category,NVDA,p_6h,57,0.5263157894736842,0.5001200420561553,0.045012235873645966,0.1463697234960158,0.06486587688984624
category,NVDA,p_24h,48,0.4791666666666667,0.4476788370245623,0.05351104889202801,0.17415766909018462,0.08040388817498643
category,Neg Risk,p_final,38,0.07894736842105263,0.08357894765408844,0.005392473705139038,0.025059219011018874,0.02163157923303582
category,Neg Risk,p_6h,35,0.08571428571428572,0.08525714326031784,0.039722685793561606,0.11515840389194246,0.05954285725432377
category,Neg Risk,p_24h,35,0.08571428571428572,0.07482856991805581,0.03948083342941007,0.12520348044040444,0.05362857893634804
category,OPEN,p_final,35,0.34285714285714286,0.33340314295073,0.026681914957733366,0.0751710245795256,0.04271636656435597
category,OPEN,p_6h,34,0.3235294117647059,0.3534705882352941,0.034916294117647066,0.11026205687169942,0.053470588235294124
category,OPEN,p_24h,30,0.36666666666666664,0.34335577519467086,0.03101866017837536,0.10202812072789284,0.06657755813866255
category,Olympics,p_final,107,0.06542056074766354,0.07734215835424006,0.0072652773927163695,0.02983216221713366,0.024164588260782143
category,Olympics,p_6h,107,0.06542056074766354,0.07734215835424006,0.0072652773927163695,0.02983216221713366,0.024164588260782143
category,Olympics,p_24h,107,0.06542056074766354,0.07734215835424006,0.0072652773927163695,0.02983216221713366,0.024164588260782143
category,Olympics,p_168h,62,0.06451612903225806,0.0795585070596471,0.03586282285357763,0.11419139559903886,0.05988109265319912
category,PGA,p_final,52,0.3269230769230769,0.3563712068203904,0.10036109676776588,0.3282646594154227,0.1546783581511067
category,PGA,p_6h,52,0.3269230769230769,0.36153107936931134,0.10308025233012277,0.3348015286088953,0.14389562875786363
category,PGA,p_24h,48,0.3333333333333333,0.3646877359662284,0.1274753794021764,0.3875505791164244,0.18731926205537502
category,PLTR,p_final,63,0.25396825396825395,0.2539486926123286,0.016919873208853905,0.07346564555807746,0.0300195626949764
category,PLTR,p_6h,58,0.27586206896551724,0.24241113860453076,0.040460918554613576,0.14374730075883319,0.0772440277299485
category,PLTR,p_24h,50,0.28,0.2599599980802664,0.062896197851895,0.21854483458733068,0.048319998080266366
category,Politics,p_final,844,0.21445497630331753,0.24198690863165953,0.057681313129380775,0.178727101423308,0.027531932328342
category,Politics,p_6h,827,0.21039903264812576,0.24046864733453982,0.05630629325179152,0.17386928353080502,0.03044587038732345
category,Politics,p_24h,769,0.21326397919375814,0.23189688546440798,0.052054066380706726,0.16384530901232558,0.030593840670649554
category,Politics,p_168h,528,0.14583333333333334,0.17186347286187614,0.044254909006635625,0.1479912003868519,0.033177744398268434
category,Recurring,p_final,495,0.05454545454545454,0.08151296060538311,0.014100946548308527,0.04977172285812089,0.027828124854378463
category,Recurring,p_6h,486,0.043209876543209874,0.0746521630676386,0.023162830395030528,0.08308189140324529,0.03308742022269318
category,Recurring,p_24h,409,0.044009779951100246,0.08392767568186682,0.0256415357975616,0.09876331870858453,0.04516917137336923
category,"Rewards 20, 4.5, 50",p_final,175,0.08571428571428572,0.09831229931491428,0.021580553223326224,0.08749308674118005,0.022495726558533848
category,"Rewards 20, 4.5, 50",p_6h,175,0.08571428571428572,0.09942050597202841,0.02083874062041883,0.08975138378361797,0.019649079433115807
category,"Rewards 20, 4.5, 50",p_24h,168,0.08928571428571429,0.10920948523814922,0.023520252240972424,0.08847316377242284,0.030379821582051332
